WKT,nome,descrição
"POINT (-38.4416343 -12.914949)",INTER SOCCER Academia de futebol - Unidade Pau da Lima,
"POINT (-38.4742498 -12.9702464)",Champion Multi Arena,
"POINT (-38.39398320000001 -12.9412065)",Arena Golaço,
"POINT (-38.3568063 -12.8708852)",Campo Chuteira Cansada,
"POINT (-38.4208117 -12.9765565)",Campos de Futebol - Boca do Rio,
"POINT (-38.3651082 -12.9342279)",Arena Km 17 - Campo de Futebol,
"POINT (-38.306588 -12.8773888)",Arenas Evo Unidade Villas,
"POINT (-38.4717979 -12.9757947)",Point da Bola,
"POINT (-38.4077351 -12.9276314)",Campo De Futebol,
"POINT (-38.4135059 -12.971881)",Arena Guanabara,
