WKT,nome,descrição
"POINT (-38.51985089999999 -12.9861788)",CNI - Curso de Informática Necrópsia e Profissionalizantes,
"POINT (-38.4820223 -12.988799)",Centro de Treinamento Formar,
"POINT (-38.35112589999999 -12.9138318)",Auto Escola Veja,
"POINT (-38.4877694 -12.8991726)",C.T.I - CENTRO DE TREINAMENTO INTEGRADO,
"POINT (-38.45544699999999 -13.005361)",Evolução Centro de Capacitação,
"POINT (-38.3084617 -12.8913273)",Escola Vila Alegria,
"POINT (-38.3511052 -12.9109003)",Escola Municipal Brigadeiro Eduardo Gomes.,
"POINT (-38.4550005 -12.9718187)",Escola Educandário Sousa Brito I Pré -escolar I Escola particular I Ensino Fundamental I Pernambués Salvador Ba,
"POINT (-38.4575077 -12.9916642)",Escola Lua Nova,
"POINT (-38.4980498 -12.9287164)",ESCOLA ESTADUAL PROFESSORA OCRIDALINA MADUREIRA,
"POINT (-38.4689739 -12.9195621)",Escola Municipal Campinas de Pirajá,
"POINT (-38.3323609 -12.9368626)",Escola Gênesis | Stella Maris,
"POINT (-38.4564323 -12.9916601)",Colégio Estadual Raphael Serravalle,
"POINT (-38.4339105 -12.9697422)",Colégio Estadual Professor Rômulo Almeida,
"POINT (-38.4746288 -12.8884354)",Escola Meu Jardim,
"POINT (-38.5058916 -12.9314889)",Colegio Arte,
"POINT (-38.4479277 -12.9459275)",Colégio Bom Jesus,
"POINT (-38.4949583 -12.9854856)",Colégio Nossa Senhora da Conceição,
"POINT (-38.4787079 -12.9334987)",Colégio Império do Saber,
"POINT (-38.4497828 -12.9964595)",Colégio Cândido Portinari,
"POINT (-38.4892951 -12.9857679)",Colégio Patrícia Lima,
"POINT (-38.4496435 -12.9994836)",Colegio Integral - Portaria Principal,
"POINT (-38.4524659 -13.0021265)",Colégio Anchieta,
"POINT (-38.4394345 -12.9644894)",Colégio Paralela,
"POINT (-38.49120200000001 -12.9714654)",Colégio Mundial,
"POINT (-38.4482233 -12.9600988)",Colégio Estadual Governador Otávio Mangabeira,
"POINT (-38.4325016 -12.9014107)",Colégio Estadual Professor Raymundo de Almeida Gouveia,
"POINT (-38.4490874 -12.9439)",Colégio Estadual Helena Magalhaes,
"POINT (-38.4591495 -12.8551689)",Colégio Estadual Monteiro Lobato,
"POINT (-38.4870946 -12.8998854)",Colégio Estadual de Plataforma,
"POINT (-38.4493138 -12.9973804)",Colégio Estadual Thales de Azevedo,
"POINT (-38.4842544 -12.9918325)",Colégio Estadual Luis Viana,
"POINT (-38.4868943 -12.9837115)",Colégio Estadual Doutor Joao Pedro Dos Santos,
"POINT (-38.4438362 -12.9489432)",Colégio Estadual Deputado Luis Eduardo Magalhaes,
"POINT (-38.4450222 -12.9850153)",Colégio Estadual Carlos Marighella,
"POINT (-38.4023719 -12.8890597)",ESCOLA ESTADUAL LUIZ JOSE DE OLIVEIRA,
"POINT (-38.4700807 -12.8392599)",Colégio Estadual Sete De Setembro,
"POINT (-38.4481942 -12.9600921)",Colégio Estadual Governador Otávio Mangabeira,
"POINT (-38.4761678 -12.9355729)",Colégio Estadual Desembargador Pedro Ribeiro,
"POINT (-38.4325016 -12.9014107)",Colégio Estadual Professor Raymundo de Almeida Gouveia,
"POINT (-38.4870946 -12.8998854)",Colégio Estadual de Plataforma,
"POINT (-38.5298434 -13.0060164)",Colégio Estadual João das Botas,
"POINT (-38.4075505 -12.8910779)",Colégio Estadual Dona Mora Guimarães,
"POINT (-38.43581770000001 -12.9730423)",Centro Educacional Imbuí,
"POINT (-38.43213110000001 -12.8910142)",Centro de Educação Recanto Verde,
"POINT (-38.4380002 -12.929163)",Centro Educacional São Marcos,
"POINT (-38.3541292 -12.8863183)",Centro Educacional Conhecimento,
"POINT (-38.4944201 -12.9529475)",Centro Educacional SALES,
