WKT,nome,descrição
"POINT (-38.4713768 -12.9773555)",Ponto 1,
"POINT (-38.36029049999999 -12.9341526)",Centro Comunitário Ágape,
"POINT (-38.4525988 -12.8509252)",Centro Comunitário Fazenda Coutos,
"POINT (-38.4671866 -12.8608192)",Centro Comunitário Arnaldo Anselmo,
"POINT (-38.5026349 -12.9966087)",Centro Comunal do Parque São Bráz,
"POINT (-38.460348 -13.0018527)",Centro Comunitário da Pituba Padre Casimiro Quiroga,
"POINT (-38.4977671 -12.9962275)",CSU - Centro Social Urbano da Federação,
"POINT (-38.4627099 -12.8412198)",CENTRO COMUNITÁRIO DO BATE CORAÇÃO,
"POINT (-38.4399135 -12.9593199)",Centro Social Urbano de Narandiba,
"POINT (-38.3596476 -12.9513504)",Centro Social Paroquial Mons. Mario Rebuffoni,
"POINT (-38.3525688 -12.8906265)",Centro Comunitário,
