WKT,nome,descrição
"POINT (-38.5237084 -12.9997346)",Igreja Nossa Senhora da Graça,
"POINT (-38.5197949 -12.9840986)",Igreja Senhor Bom Jesus do Aflitos,
"POINT (-38.4809331 -13.0054907)",Igreja Matriz Cristo Redentor,
"POINT (-38.5321295 -13.0013105)",Igreja Santo Antônio da Barra,
"POINT (-38.4739799 -13.0071833)",Igreja Matriz Paróquia Santo André,
"POINT (-38.5155526 -12.9832497)",Paróquia de São Pedro,
"POINT (-38.4601959 -12.993904)",Igreja Batista Regular da Pituba,
"POINT (-38.3329467 -12.8887101)",Igreja Primícias Das Nações,
"POINT (-38.4573309 -12.9909218)",Igreja Nossa Senhora da Assunção,
"POINT (-38.4660994 -13.0107456)",Igreja Batista Lírio dos Vales,
"POINT (-38.5171269 -12.9817726)",CEAD Centro Espírita Alma D'Ângelis.,
"POINT (-38.5014375 -12.9615104)",Centro Espírita Luz e Caridade,
"POINT (-38.3607089 -12.9493107)",Centro Espírita Estrela Guia de Itapuã,
"POINT (-38.44635 -12.9330984)",Casa do Caminho - Pronto Atendimento Espírita,
"POINT (-38.5123518 -12.9272236)",Centro de Caridade Caboclo Capangueiro-CCCC,
"POINT (-38.4701169 -13.0120999)",Centro Espírita Seareiros da Luz,
"POINT (-38.4915573 -12.9695052)",Centro Espírita Deus Luz e Verdade,
"POINT (-38.3031063 -12.8691047)",Centro Espírita Amor e Sabedoria,
"POINT (-38.5089974 -12.9730111)",INSTITUTO KARDECISTA DA BAHIA,
"POINT (-38.4674488 -13.0095415)",Centro Espírita Paulo e Estevão,
"POINT (-38.4596056 -13.0052338)",Igreja Universal,
"POINT (-38.4760042 -12.9321007)",Igreja Universal,
"POINT (-38.4766891 -13.0039643)",Igreja Universal,
"POINT (-38.4442411 -12.9336591)",Igreja Universal,
"POINT (-38.3625121 -12.938472)",Igreja Universal,
"POINT (-38.5151679 -12.9783526)",Igreja Universal,
"POINT (-38.4904406 -12.9464549)",Igreja Universal - Liberdade,
"POINT (-38.4452679 -12.9466457)",Igreja Universal,
"POINT (-38.4707537 -12.9765347)",Igreja Universal,
"POINT (-38.4795854 -12.942445)",Igreja Universal,
"POINT (-38.510355 -12.9727852)",Catedral-Basílica Primacial de São Salvador,
"POINT (-38.5019915 -12.9689958)",Catedral da Bênção,
"POINT (-38.4672617 -12.9807913)",Igreja Universal | Catedral,
"POINT (-38.3391733 -12.9434644)",Cathedrall,
"POINT (-38.3474013 -12.9319875)",Catedral dos Milagres Church,
