WKT,nome,descrição
"POINT (-38.4598757 -12.993932)",Farmácia Pague Menos,
"POINT (-38.5184337 -13.0041797)",Drogasil,
"POINT (-38.4838215 -13.0125011)",Drogasil,
"POINT (-38.5095075 -13.0100325)",Farmácia Hiper Econômica,
"POINT (-38.3418529 -12.9391503)",Drogasil,
"POINT (-38.4679558 -12.960133)",Farmácia Pague Menos,
"POINT (-38.4990188 -13.0052538)",Drogasil,
"POINT (-38.5028981 -12.9397824)",Farmácia Vila Mares,
"POINT (-38.5137 -12.9821784)",Farmácia Pague Menos,
"POINT (-38.4886622 -12.9585856)",Farmácia Rede Med,
"POINT (-38.3345408 -12.9394914)",DROGARIA SÃO PAULO,
"POINT (-38.3513062 -12.9139224)",Drogaria Renascer de São Cristóvão,
"POINT (-38.454332 -12.9899661)",DROGARIA SÃO PAULO,
"POINT (-38.4617774 -12.9542657)",DROGARIA SÃO PAULO,
"POINT (-38.4916286 -13.0000097)",DROGARIA SÃO PAULO,
"POINT (-38.4499299 -12.959928)",Drogaria São Paulo,
"POINT (-38.5202349 -12.9910279)",DROGARIA SÃO PAULO,
"POINT (-38.3658856 -12.9449639)",DROGARIA SÃO PAULO,
"POINT (-38.509478 -13.0081506)",DROGARIA SÃO PAULO,
"POINT (-38.48836599999999 -12.9570808)",Drogasil,
"POINT (-38.4986352 -12.9826337)",Drogasil,
"POINT (-38.4339069 -12.9800184)",Drogasil,
"POINT (-38.4435738 -12.9782595)",Drogasil,
"POINT (-38.4898777 -13.0022237)",Drogasil,
"POINT (-38.4949231 -12.975707)",DROGASIL,
"POINT (-38.4576751 -13.0042986)",Drogasil,
"POINT (-38.4364262 -12.9660462)",Drogasil,
"POINT (-38.486368 -13.0038144)",Drogasil,
"POINT (-38.4631621 -13.0081557)",Drogasil,
"POINT (-38.5213581 -12.9986102)",Farmácia Pague Menos,
"POINT (-38.454824 -12.9924579)",Farmácia Pague Menos,
"POINT (-38.46382 -12.966317)",Farmácia Pague Menos,
"POINT (-38.4802409 -12.9881623)",Farmácia Pague Menos,
"POINT (-38.4598574 -12.9938979)",Farmácia Pague Menos,
"POINT (-38.5006411 -12.9797229)",Farmácia Pague Menos,
"POINT (-38.4106717 -12.9194068)",Farmácia Pague Menos,
"POINT (-38.5034283 -12.928426)",Farmácia Pague Menos,
"POINT (-38.497208 -12.9366197)",Farmácia Pague Menos,
"POINT (-38.4584087 -13.0051667)",Farmácia Pague Menos,
"POINT (-38.4629603 -13.0079412)",Drogaria Globo Manoel Dias,
"POINT (-38.5147134 -12.9805358)",Drogaria Globo Avenida 7,
"POINT (-38.47954259999999 -12.9884279)",Drogaria Globo Brotas,
"POINT (-38.4941699 -12.9482855)",Drogaria Globo Liberdade,
"POINT (-38.5225315 -12.9985312)",Drogaria Globo Graça,
"POINT (-38.4578195 -12.9864104)",Drogaria Globo Espatódeas,
"POINT (-38.4430839 -12.9205252)",Drogaria Globo - Pau da Lima,
"POINT (-38.3235384 -12.8946866)",Drogaria Globo Lauro de Freitas,
"POINT (-38.46905659999999 -12.840968)",Drogaria Globo Paripe,
"POINT (-38.3648657 -12.9417166)",Drogaria Globo Itapuã,
