WKT,nome,descrição
"POINT (-38.38982499999999 -12.8978388)",Hospital Municipal de Salvador (HMS),
"POINT (-38.4506214 -12.9876887)",Hospital da Bahia (HBA),
"POINT (-38.5160595 -12.9979088)",Hospital Santo Amaro (HSA),
"POINT (-38.4302432 -12.9290754)",Hospital São Rafael (HSR),
"POINT (-38.4805858 -13.0014961)",Hospital Aliança (HA),
"POINT (-38.5114315 -12.9251253)",Hospital da Sagrada Família (HSF),
"POINT (-38.4887888 -12.9899647)",Hospital de Brotas,
"POINT (-38.4858162 -12.9587554)",Hospital Especializado Octávio Mangabeira (HEOM),
"POINT (-38.4505951 -12.9554436)",Hospital Geral Roberto Santos (HGRS),
"POINT (-38.50318350000001 -12.9717523)",Hospital Santa Izabel,
"POINT (-38.38692079999999 -12.9392813)",Instituto SESI de Saúde e Segurança no Trabalho,
"POINT (-38.4502824 -12.9840209)",SESI Bahia,
"POINT (-38.3867864 -12.9402231)",Escola SESI Djalma Pessoa,
"POINT (-38.502586 -12.9244832)",Escola SESI Comendador Bernardo Martins Catharino,
"POINT (-38.47542929999999 -12.9507183)",Escola SESI Reitor Miguel Calmon (SESI Retiro),
"POINT (-38.5024178 -12.9237487)",Centro Cultural SESI Casa Branca,
"POINT (-38.4810893 -12.9469689)",UPA 24h San Martin,
"POINT (-38.4801327 -12.9865128)",UPA Brotas,
"POINT (-38.4609509 -12.9265608)",UPA Pirajá / Santo Inácio,
"POINT (-38.4757889 -12.9353774)",UPA São Caetano,
"POINT (-38.4872509 -12.9590152)",UPA Pau miudo - 16º Centro de Saúde Maria Conceição Imbassahy,
"POINT (-38.4727809 -12.8680588)",UPA Periperi,
"POINT (-38.4319833 -12.9732661)",UPA Imbuí,
"POINT (-38.3644306 -12.9070827)",UPA Parque São Cristovão,
"POINT (-38.3663472 -12.9489895)",UPA Dr. Hélio Machado,
"POINT (-38.5117741 -12.9898479)",UPA Vale dos Barris,
"POINT (-38.40665730000001 -12.9027949)",CAPS Ii - Nise Da Silveira,
"POINT (-38.4706007 -12.9248727)",CAPS AD III Gey Espinheira,
"POINT (-38.5004697 -12.9855937)",CAPS II Aristides Novis,
"POINT (-38.3283025 -12.8899059)",CAPS AD Lauro de Freitas,
"POINT (-38.4647338 -12.9687564)",CAPS Ad Pernambues,
"POINT (-38.4831891 -12.9522649)",CAPS II Liberdade (ADULTO),
"POINT (-38.3281122 -12.891182)",Caps Ad Santo Amaro De Ipitanga,
"POINT (-38.4609 -12.9710844)",Centro de Saúde de Pernambués Dr. Edison Teixeira Barbosa,
"POINT (-38.43442 -12.9246672)",Unidade de Saúde da Família São Marcos,
"POINT (-38.4305088 -12.9353408)",Unidade de Saúde da Família Gal Costa,
"POINT (-38.5135579 -12.9716953)",Secretaria Municipal De Saúde De Salvador,
"POINT (-38.3360001 -12.8920266)",Unidade de Saúde da Família São Judas Tadeu,
"POINT (-38.4297485 -12.963141)",Unidade de Saúde da Família Imbuí (USF IMBUÍ),
"POINT (-38.3222993 -12.8903896)",Policlinica Mais Saúde,
"POINT (-38.44680779999999 -12.9457083)",Clinica Saúde da Família,
"POINT (-38.49433409999999 -12.95732)",Clínica Saúde +,
"POINT (-38.42207949999999 -12.8896327)",Hospital Professor Eládio Lassére (HPEL),
"POINT (-38.45678270000001 -12.8648584)",Hospital do Subúrbio,
