WKT,nome,descrição
"POINT (-38.51367219999999 -13.0005961)",Mercado Central,
"POINT (-38.5196196 -12.9867891)",Supermercado Novo Varejo em Salvador Mercado em Politeama Mercado Delivery,
"POINT (-38.5028131 -13.0077813)",Mercado do Bonfim,
"POINT (-38.4767581 -13.0040024)",Mercado Preço Baixo,
"POINT (-38.420282 -12.9721098)",Mercado da Família,
"POINT (-38.4991126 -13.009974)",Mercado Padaria Vila Matos,
"POINT (-38.4964058 -12.9352995)",Mercado Novo,
"POINT (-38.511648 -12.929278)",Mercado Boa Viagem,
"POINT (-38.3393455 -12.9381513)",Mercado da Praça,
"POINT (-38.4575014 -12.9682702)",Mercado Bom Dia,
"POINT (-38.4288558 -12.9779348)",Atakarejo - Boca do Rio,
"POINT (-38.3787417 -12.9527976)",Atakarejo - Piatã,
"POINT (-38.4705608 -12.9823185)",Atakadão Atakarejo,
"POINT (-38.4137503 -12.9400713)",Atakarejo - Paralela,
"POINT (-38.4606712 -12.949073)",Atakarejo - Cabula,
"POINT (-38.5012657 -12.9476874)",Atakadão Atakarejo,
"POINT (-38.45784829999999 -12.9746545)",Atakarejo - Pernambués,
"POINT (-38.3088011 -12.877192)",Atakarejo - Lauro de Freitas,
"POINT (-38.4443717 -12.9081089)",Atakadão Atakarejo,
"POINT (-38.4814871 -12.9477377)",Atakadão Atakarejo,
"POINT (-38.4133489 -12.9294688)",Atacadão - Canabrava,
"POINT (-38.5105647 -12.9960486)",Atacadão Garibaldi,
"POINT (-38.4744902 -12.9905455)",Atacadão - Salvador ACM,
"POINT (-38.4582002 -12.9769571)",Atacadão - Salvador Iguatemi,
"POINT (-38.4039059 -12.903849)",Atacadão - Cajazeiras,
"POINT (-38.4613547 -12.9526921)",Atacadão - Salvador Cabula,
"POINT (-38.32571009999999 -12.8913757)",Atacadão - Lauro de Freitas Caji,
"POINT (-38.4785895 -12.9672842)",Atacadão - Salvador Barros Reis,
"POINT (-38.3100115 -12.8760242)",Atacadão - Portão,
"POINT (-38.4934805 -12.9837888)",Atacadão - Salvador Bonocô,
"POINT (-38.44307709999999 -12.9159031)",GBarbosa,
"POINT (-38.3083233 -12.8854803)",GBarbosa Lauro De Freitas,
"POINT (-38.4991816 -12.9824966)",GBarbosa Engenho Velho de Brotas,
"POINT (-38.474811 -12.9707135)",GBarbosa,
"POINT (-38.4590883 -12.9454193)",GBarbosa Cabula,
"POINT (-38.3535977 -12.9108277)",EletroShow GBarbosa,
"POINT (-38.4812263 -12.9375643)",Farmácia GBarbosa,
"POINT (-38.4485167 -12.9915934)",GBarbosa Costa Azul,
"POINT (-38.4701585 -12.9797986)",GBarbosa Hiper Iguatemi,
"POINT (-38.4048982 -12.9072398)",Delicatessen Nova Estrela,
"POINT (-38.4169577 -12.9716621)",Delicatessen Imperial,
"POINT (-38.46096199999999 -12.9752651)",Esquina Do Pão Delicatessen,
"POINT (-38.3809081 -12.9518014)",Delicatessen Point do Pão,
"POINT (-38.4781065 -12.9173965)",Bella Massa Delicatessen,
"POINT (-38.459505 -12.9718787)",DELICATESSEN PONTO CERTO,
"POINT (-38.461197 -12.9856658)",Sampaio Delicatéssen,
"POINT (-38.4009923 -12.8994999)",Delicatessen Doce Pão,
"POINT (-38.4496086 -12.9155889)",Flor de Jardim Delicatessen,
"POINT (-38.4449799 -12.9857853)",D’alinda Delicatessen,
"POINT (-38.4774716 -12.9957398)",Empório Cidade Jardim,
"POINT (-38.4496858 -12.9851528)",Empório Coisas de Minas Stiep - Salvador,
"POINT (-38.5121011 -13.0103756)",Empório Coisas de Minas Unidade Ondina - Salvador,
"POINT (-38.4451876 -12.9546182)",Empório,
"POINT (-38.460693 -13.001024)",Empório Do Pão,
"POINT (-38.2978442 -12.8865277)",Empório Coisas de Minas Vilas,
"POINT (-38.5089151 -12.9835467)",EMPÓRIO DOS AMIGOS,
"POINT (-38.4647468 -12.9828886)",Empório Flor de Laranjeira,
"POINT (-38.4781116 -12.9931166)",Empório Santo Sabor,
"POINT (-38.517187 -12.994294)",Empório Caroá,
