WKT,nome,descrição
"POINT (-38.51156439999999 -12.9809014)",Padaria Piedade,
"POINT (-38.501116 -13.0069895)",Padaria Sabor Real,
"POINT (-38.50736360000001 -12.9792536)",Padaria Sr. Afonso,
"POINT (-38.5199188 -12.9876554)",Padaria Favorita,
"POINT (-38.5138807 -13.0015868)",Padaria Mega Pão,
"POINT (-38.4627268 -13.0018586)",Paneville Padaria Gourmet - Pituba Salvador,
"POINT (-38.5111029 -12.9763384)",Padaria e mercado Paris,
"POINT (-38.3204825 -12.8789553)",Padaria Novo Pão,
"POINT (-38.498176 -12.945856)",Padaria Bom Gosto,
"POINT (-38.4857253 -13.0126144)",Padaria Yemanjá,
"POINT (-38.5094604 -13.0075229)",Ondina Delicatessen,
"POINT (-38.5193431 -12.9978816)",Deli & Cia,
"POINT (-38.5172496 -13.0009639)",Delicatessen Doce Pão,
"POINT (-38.461197 -12.9856658)",Sampaio Delicatéssen,
"POINT (-38.4337696 -12.964709)",Clássica Delicatessen,
"POINT (-38.4817686 -12.9885595)",Deli e Pão,
"POINT (-38.4449799 -12.9857853)",D’alinda Delicatessen,
"POINT (-38.3226005 -12.8953135)",Delipani Delicatessen,
"POINT (-38.5302936 -13.0035447)",Delicatessen Sabor do Porto,
"POINT (-38.3714246 -12.9492432)",Pão da Vila Padocatessen,
