WKT,nome,descrição
"POINT (-38.4585976 -12.9918796)",Praça Nossa Senhora da Assunção, Pituba,
"POINT (-38.5214151 -12.9890509)",Praça do Campo Grande,
"POINT (-38.5057899 -12.9818487)",Praça Tereza Cristina Lustosa,
"POINT (-38.3551139 -12.9525508)",Praça Teodoro Gama,
"POINT (-38.3534107 -12.9115405)",Praça da Matriz,
"POINT (-38.4570495 -13.0055706)",Praça Nossa Senhora da Luz,
"POINT (-38.403067 -12.9019002)",Praça da II,
"POINT (-38.4524409 -12.9869102)",Praça Aquarius,
"POINT (-38.4350477 -12.9692891)",Praça do Imbuí,
"POINT (-38.4561359 -12.9849165)",Praça dos Eucaliptos,
"POINT (-38.4293597 -12.9810735)",Parque dos Ventos,
"POINT (-38.410964 -12.890136)",Praça do setor 1,
"POINT (-38.31463979999999 -12.8934527)",Parque das Aves,
"POINT (-38.4064449 -12.8946553)",Praça da Quadra C,
"POINT (-38.4736252 -12.9964227)",Parque da Cidade Joventino Silva,
"POINT (-38.4620144 -13.0005665)",Praça Santos Dumont,
"POINT (-38.5200744 -12.9838374)",Praça Mirante dos Aflitos,
"POINT (-38.3294538 -12.8740389)",Praça Bom Samaritano,
"POINT (-38.4966211 -12.9248933)",Parque Praça do Boi,
"POINT (-38.4519623 -13.0031402)",Jardim dos Namorados,
"POINT (-38.358833 -12.9447703)",Lagoa do Abaeté,
"POINT (-38.2967964 -12.8898825)",Lagoa Dos Patos,
"POINT (-38.4087124 -12.9614366)",Lagoa Parque Tropical,
"POINT (-38.4647766 -13.0057413)",Lagoa dos Patos,
"POINT (-38.3930543 -12.9509874)",Lagoa de Piatã,
"POINT (-38.4019839 -12.9392705)",Lagoa Alphaville I,
"POINT (-38.4437119 -12.9806141)",Bar Lagoa dos Frades,
"POINT (-38.3043909 -12.8948995)",Praça LAGOA DOS PATOS,
"POINT (-38.4474888 -12.8369805)",Lagoa de Nova Salvador,
"POINT (-38.501707 -12.9538047)",Programa Mesa Brasil - Sesc Bahia,
