WKT,nome,descrição
"POINT (-38.4001463 -12.9050187)",Shopping Cajazeiras,
"POINT (-38.3949236 -12.9365263)",Shopping Paralela,
"POINT (-38.455251 -12.9778603)",Salvador Shopping,
"POINT (-38.4746357 -12.9699536)",Shopping Bela Vista,
"POINT (-38.4649511 -12.9812172)",Shopping da Bahia,
"POINT (-38.46917639999999 -12.9956307)",Shopping Cidade,
"POINT (-38.4909179 -12.9709153)",Shopping Vila Laura,
"POINT (-38.4637594 -12.9962659)",Shopping Itaigara,
"POINT (-38.3500732 -12.9123367)",Shopping São Cristóvão,
"POINT (-38.3185516 -12.8876681)",Parque Shopping Bahia,
"POINT (-38.3949236 -12.9365263)",Shopping Paralela,
"POINT (-38.3851228 -12.9437911)",Pátio piatã,
"POINT (-38.4044761 -12.9389079)",Alpha Mall,
"POINT (-38.3915609 -12.9569553)",Shopping Villarejo Mall,
"POINT (-38.3952434 -12.9365739)",Saraiva,
"POINT (-38.3950328 -12.9369342)",First Class Salvador - Cama mesa e banho - Shopping Paralela,
"POINT (-38.369327 -12.9462066)",Itapuã Center,
"POINT (-38.36553869999999 -12.9428285)",Bahia Shopping,
"POINT (-38.4001463 -12.9050187)",Shopping Cajazeiras,
"POINT (-38.3513333 -12.9083785)",Salvador Norte Shopping,
"POINT (-38.30122929999999 -12.8690166)",Centro Comercial Portão,
"POINT (-38.3424039 -12.9388878)",Centro Comercial Alamedas da Praia,
"POINT (-38.3506968 -12.9111116)",Centro comercial são cristovão,
"POINT (-38.4617437 -13.0008261)",Centro Comercial Jardim Pituba,
"POINT (-38.4361705 -12.9284117)",Centro Comercial São Marcos,
"POINT (-38.3650195 -12.949554)",Centro Comercial ÁGUIA,
"POINT (-38.3250033 -12.8907707)",Centro Comercial Gre Center,
"POINT (-38.4468304 -12.9534747)",Centro Comercial Narandiba,
"POINT (-38.42524170000001 -12.9771572)",Centro comercial bocadório,
"POINT (-38.4188373 -12.9169684)",Centro Comercial Nossa Senhora de Fátima,
"POINT (-38.4785841 -12.9864975)",Centro Comercial de Brotas,
"POINT (-38.3506968 -12.9111116)",Centro comercial são cristovão,
"POINT (-38.5193251 -12.9864371)",CENTRO COMERCIAL POLITEAMA,
"POINT (-38.4617437 -13.0008261)",Centro Comercial Jardim Pituba,
"POINT (-38.3012986 -12.8690311)",Centro Comercial Portão,
"POINT (-38.4953914 -12.9499211)",Centro Comercial Liberdade,
"POINT (-38.4925017 -13.0013854)",Centro Comercial Santa Madalena,
"POINT (-38.4468304 -12.9534747)",Centro Comercial Narandiba,
"POINT (-38.3650195 -12.949554)",Centro Comercial ÁGUIA,
"POINT (-38.3424039 -12.9388878)",Centro Comercial Alamedas da Praia,
"POINT (-38.4953914 -12.9499211)",Centro Comercial Liberdade,
"POINT (-38.4617437 -13.0008261)",Centro Comercial Jardim Pituba,
"POINT (-38.4785841 -12.9864975)",Centro Comercial de Brotas,
