BAIRRO,População segundo o Censo de 2010,Densidade Populacional Bruta hab/ha,Latitude,Longitude,área,Área verde,% Branca,% Preta,% Amarela,% Parda,% Indígena,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 49 anos,50 a 64 anos,acima de 65 anos,"População acima de 15 anos não alfabetizada (%)",Total de domicílios,Total de domicílios próprios,Total de domicílios alugados,Total de domicílios cedidos,Rendimento médio,Prefeitura bairro,Acumulado de chuva 2023 (mm),Acumulado de chuva 2022 (mm),Acumulado de chuva 2021 (mm),Acumulado de chuva 2020 (mm),Acumulado de chuva 2019 (mm),Rendimento médio atualizado
Aeroporto,0,0.0,-12.915556,-38.327222,10116033.63,1384198.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0
Itaigara,10874,87.06,-12.9918874,-38.4659443,1249014.17,94745.41,64.62,4.45,0.75,30.03,0.14,2.97,3.57,4.27,6.52,47.69,22.57,12.41,0.54,3537,82.17,17.32,0.46,10479.3,6,0.0,0.0,0.0,0.0,0.0,19864.68263988
Resgate,6708,151.42,-12.9616245,-38.4638779,442998.05,104194.79,27.28,18.43,1.58,52.34,0.37,4.96,4.14,5.08,6.32,53.62,17.2,8.66,0.59,2296,76.31,21.65,1.92,3309.9,8,0.0,0.0,0.0,0.0,0.0,6274.28483484
Santo Agostinho,4796,221.93,-12.9742316,-38.4974353,216063.1,32792.63,36.7,14.05,1.21,47.69,0.35,3.42,4.36,5.44,6.69,50.35,17.76,11.97,0.65,1580,72.03,24.62,2.97,3236.6,1,0.0,0.0,0.0,0.0,0.0,6135.33650456
Pituba,65160,146.62,-12.9992595,-38.4554978,4427347.74,695323.55,55.5,6.38,1.09,36.75,0.26,4.0,3.81,4.49,6.55,51.21,18.51,11.4,0.66,23397,76.64,20.75,2.44,7513.1,6,143.4,1039.8,475.4,1584.8,0.0,14241.91951196
Caminho das Árvores,12323,60.25,-12.9824528,-38.4583033,2045234.44,1319.0,60.76,6.34,1.01,31.69,0.2,4.15,4.24,4.54,5.91,51.76,20.13,9.27,0.67,4219,81.61,16.94,1.36,9176.0,6,0.0,0.0,0.0,0.0,0.0,17394.1320416
Vila Laura,14524,173.48,-12.9707211,-38.4882326,837248.66,91034.64,37.04,12.83,1.07,48.76,0.28,5.06,4.87,6.18,6.87,53.25,16.0,7.77,0.7,4871,78.55,18.88,2.17,4430.9,1,0.0,0.0,0.0,0.0,0.0,8399.26543844
Patamares,6156,13.33,-12.9469192,-38.4018961,4620839.1,2770116.86,51.84,8.92,0.89,38.0,0.36,5.28,5.26,6.32,5.93,53.31,18.68,5.21,0.72,1902,85.54,12.09,1.95,12294.3,4,0.0,0.0,0.0,0.0,0.0,23305.21769388
Stella Maris,20641,36.69,-12.9377602,-38.3346758,5466612.19,135386.56,45.11,10.02,1.16,43.3,0.38,5.03,5.26,5.98,6.42,53.33,17.45,6.53,0.74,6904,73.9,24.04,1.93,6691.2,4,0.0,0.0,0.0,0.0,0.0,12683.91633792
Vitória,5225,167.25,-12.9929784,-38.5263187,318017.04,108645.37,62.33,6.95,1.0,29.47,0.25,2.74,2.76,3.56,5.47,45.03,21.13,19.31,0.74,1914,78.83,17.86,3.1,10135.2,6,0.0,0.0,0.0,0.0,0.0,19212.402688320002
Amaralina,4125,85.96,-13.009722,-38.479722,476212.57,4256.68,38.35,8.61,0.92,51.95,0.17,3.22,2.88,3.83,5.55,52.34,19.95,12.22,0.78,1674,68.22,29.06,2.66,3591.9,6,0.0,0.0,0.0,0.0,0.0,6808.84730604
Rio Vermelho,18334,106.06,-13.0100607,-38.4899605,1698500.6,74237.41,43.51,15.28,1.25,39.57,0.32,3.89,3.94,4.41,6.22,53.36,18.16,9.94,0.95,6866,73.9,23.62,2.2,6282.2,6,0.0,0.0,0.0,0.0,0.0,11908.61119352
Graça,18454,214.01,-12.9994381,-38.5226463,860300.82,76080.36,61.11,6.67,0.85,31.15,0.22,3.12,2.99,3.64,5.58,47.01,19.64,18.02,0.98,6663,77.89,19.34,2.45,7772.1,6,0.0,0.0,0.0,0.0,0.0,14732.88291636
STIEP,13646,109.58,-12.9804811,-38.4465942,1245349.61,67889.0,41.43,10.0,1.09,47.14,0.31,5.38,4.39,4.88,6.31,56.49,15.09,7.46,0.99,4722,78.71,19.34,1.72,5360.1,6,228.2,879.4,680.6,0.0,0.0,10160.667737160002
Cabula VI,9364,142.68,-12.955,-38.4475,656330.69,120637.66,23.63,18.13,1.47,56.55,0.21,5.01,4.59,5.55,6.49,55.3,16.47,6.59,1.01,3776,67.68,30.57,1.59,1906.0,8,0.0,0.0,0.0,0.0,0.0,3613.0357096000002
Roma,3636,134.72,-12.9349632,-38.5038883,269899.7,2085.38,28.85,15.62,0.47,54.98,0.08,4.4,5.34,5.64,6.52,49.01,16.78,12.32,1.01,1100,71.49,25.57,2.66,2728.2,5,0.0,0.0,0.0,0.0,0.0,5171.60756712
Jardim Armação,3025,29.3,-12.9862102,-38.438865,1029004.63,777.0,45.36,10.98,1.12,42.35,0.2,4.53,4.73,4.6,5.92,55.64,17.82,6.78,1.07,1168,68.77,26.66,3.71,5964.9,6,0.0,0.0,0.0,0.0,0.0,11307.13363284
